S.I,Question type,Question,Option_1,Option_2,Option_3,Option_4,Image,Currect answer,True_or Fals,Fill_ in the blanks ,Explanation,Hint,Marks,Negative,Difficulty_level
1,Objective,The world drainage basin is synonyms of?,ÿÿÿ Watershed, Catchment area,Both,None,,C,,,,,,,
2,Objective,Rills with more than??depth are generally called gullies,15 cm,20cm,30cm,40cm,,C,,,,,,,
3,Objective,Wind and water erosion contribute what percentage of soil degradation?,50%,60%,70%,90%,,A,,,,,,,
4,Objective,For vegetable barrier in semi arid reason for Central India which grass species is most suitable., Napier,ÿ Dhaman, Guinea,None,,C,,,,,,,
5,Objective,Graded binding is done in?????,Heavy textured soils,Light textured soils,Medium textured soils,None,,A,,,,,,,
6,Objective,Width of wind strip crop is kept maximum in.,Clay loam soil,Sandy loam soil,Clay soil,None,,C,,,,,,,
7,Objective,Which of the following soil separates has more erodibility?,Sand,Silt,loam,Rocks,,B,,,,,,,
8,Objective,Drought prone area programmed was started in????.,1993,1973,1977,1947,,B,,,,,,,
9,Objective,Desert development programme was initiated in????.,1993,1973,1977,1947,,C,,,,,,,
10,Objective,The maximum impact of rain drop will be what angle when is hit the grounds?,45 ?,90 ?,15 ?,None,,B,,,,,,,
11,Objective,SODAR device used to,measure EMR,Measure  air wind speeds,Measure cloud cover,All,,B,,,,,,,
12,Objective,What is the trade name of IAA?,Berelex.,Sprontstop.,Seradix.,All,,C,,,,,,,
13,Objective,Berelex is the trade name of???..,GA3,MH,IAA,ABA,,A,,,,,,,
14,Objective,Sprontstop is the trade name ???..,GA3,MH,IAA,ABA,,B,,,,,,,
15,Objective,Seradix is the trade name ???..,GA3,MH,IAA,ABA,,C,,,,,,,
16,Objective,The world drainage basin is synonyms of?,ÿÿÿ Watershed, Catchment area,Both,None,,C,,,,,,,
17,Objective,Rills with more than??depth are generally called gullies,15 cm,20cm,30cm,40cm,,C,,,,,,,
18,Objective,Wind and water erosion contribute what percentage of soil degradation?,50%,60%,70%,90%,,A,,,,,,,
19,Objective,Graded binding is done in?????,Heavy textured soils,Light textured soils,Medium textured soils,None,,A,,,,,,,
20,Objective,Width of wind strip crop is kept maximum in.,Clay loam soil,Sandy loam soil,Clay soil,None,,C,,,,,,,
21,Objective,Which of the following soil separates has more erodibility?,Sand,Silt,loam,Rocks,,B,,,,,,,
22,Objective,Drought prone area programmed was started in????.,1993,1973,1977,1947,,B,,,,,,,
23,Objective,Desert development programme was initiated in????.,1993,1973,1977,1947,,C,,,,,,,
24,Objective,The maximum impact of rain drop will be what angle when is hit the grounds?,45 ?,90 ?,15 ?,None,,B,,,,,,,
25,Objective,SODAR device used to,measure EMR,Measure  air wind speeds,Measure cloud cover,All,,B,,,,,,,
26,Objective,Volume  of water vapour in lower atmosphere is ,0-10%,11-14%,0-4%,10-15%,,C,,,,,,,
27,Objective,Troposphere extented up to the height from earth atmosphere is,20-55 km,8-18 km,5-20 km,30-80 km,,B,,,,,,,
28,Objective,Troposphere contain ?....% of atmospheric mass,95%,80%,85%,99%,,C,,,,,,,
29,Objective,Temperature at tropopause is (0C),-10,-60,-100,-20,,B,,,,,,,
30,Objective,In stratosphere  temperature ?.....with increase in height,Increase,decrease,same,increase then decrease,,A,,,,,,,
31,Objective,Stratosphere contain ?...% of atmospheric mass,50,66,15,10,,C,,,,,,,
32,Objective,Stratosphere able to absorbs ,UV rays,Infared,gama rays,all,,A,,,,,,,
33,Objective,Weight of Carbon di oxide in atmosphere is,0.03%,0.30%,0.05%,0.03%,,C,,,,,,,
34,Objective,Long distance communication possible in,thermosphere,Ionosphere,Mesosphere,strastosphere,,B,,,,,,,
35,Objective,Value of solar constant is,1.94 cal/cm2/min,1.94 cal/m2/min,1.94 cal/ cm2/sec,1.94 cal/m2/sec,,A,,,,,,,
36,Objective,Cloudiness?... Ratio of diffused to direct eadiation,decrease,increase,has no effect,slightly effect,,B,,,,,,,
37,Objective,which radiation penetrates more effectively in plant canopies ,direct,diffused,both,none,,B,,,,,,,
38,Objective,Diffused radiation contains?...% of PAR,42%,45%,65%,62%,,C,,,,,,,
39,Objective,Below among which is effective reflectors,cloud,Fresh snow,sea,water surface,,B,,,,,,,
40,Objective,Earth absorbs solar radiation in ?...waves and emits back in the form of ?.,"Long, short","short, long","short, short","long,long",,B,,,,,,,
41,Objective,PAR is measured by,pyranometer,quantam sensor,radiometer,pyrheliometer,,B,,,,,,,
42,Objective,Terrestrial radiation measured by,Net radiometer,pyrgeometer,pyranometer,albedometer,,B,,,,,,,
43,Objective,Dry adiabatic lapse rate is (per km),6.5 0c,3.5 0c,10 0c,8 0c,,C,,,,,,,
44,Objective,Thermal conductivity of soil depends upon,texture,porosity,OM content,All,,D,,,,,,,
45,Objective,When soil ploughed thermal conductivity ,increase,decrease,no change,none,,B,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
